CD_STATION;MOYPTOT;MAXPTOT
01456X0022/F;0.006333333;0.01
10153X0061/BOYNE;0.0064;0.02
02474X0010/C1;0.006666667;0.009
09783X0033/F;0.006666667;0.02
02273X0013/HY;0.00675;0.027
00428X0038/HY;0.007;0.016
01323X0005/FAEP;0.007;0.022
01815X0008/F;0.007;0.009
02186X0040/REC;0.007333333;0.02
02722X0152/F;0.0075;0.03
00518X0001/S1AEP;0.0075;0.008
03081X0045/F2;0.0075;0.03
04394X1001/S;0.0075;0.03
05573X0012/P;0.0075;0.03
01677X0023/HY;0.0075;0.03
01987X0117/F;0.0075;0.03
02346X0016/F;0.0075;0.03
00596X0030/F;0.008;0.016
02337X0114/P4;0.008;0.04
00983X0193/F;0.008;0.01
05488X0013/ETUDE;0.008;0.024
01114X0044/HY;0.008;0.02
06356X0008/8;0.008;0.02
01636X0036/F;0.008;0.04
01745X0026/C1;0.008;0.04
08888X0003/F;0.008;0.008
09783X0002/FACR3;0.008571429;0.02
09406X0583/P;0.008823529;0.13
01035X0030/F;0.009;0.009
02822X0004/P1;0.0092;0.046
03556X0026/FEX;0.00925;0.037
01591X0002/PAEP;0.00925;0.017
01898X0020/PAEP;0.0095;0.01
02477X0076/HY;0.00975;0.039
02663X0005/HY;0.01;0.05
03077X0097/F;0.01;0.02
00192X0137/F2BIS;0.01;0.01
03488X0025/P2;0.01;0.03
00683X0023/SAEP1;0.01;0.03
00698X0004/P4AEP;0.01;0.05
00811X0013/MY;0.01;0.01
04731X0002/S;0.01;0.02
00197X0113/F1;0.01;0.01
04965X0024/AEP;0.01;0.04
04995X0019/SOURCE;0.01;0.04
00887X1007/SAEP1;0.01;0.03
05811X0100/P;0.01;0.04
00075X0158/F15;0.01;0.01
06757X0009/F;0.01;0.029
07054X0011/111111;0.01;0.02
07221X0017/P4;0.01;0.02
00247X0032/P1;0.01;0.01
01376X0123/P1;0.01;0.02
07235X0011/F;0.01;0.05
00061X0118/F8;0.01;0.02
00103X0308/F3;0.01;0.01
01832C0336/B1;0.01;0.01
09514X0040/F;0.01;0.02
09792X0207/F2;0.01;0.02
02677X0026/HY;0.01;0.03
10061X0027/F;0.01;0.02
02106X0018/C2;0.01;0.04
10403X0227/P11;0.01;0.04
10915X0349/CAVE;0.01;0.04
10972X0084/111111;0.01;0.02
02296X0021/HY;0.01;0.03
06945X0297/S;0.010333333;0.031
10295X0003/ERH;0.01035;0.0207
04066X0014/AEP;0.010375;0.08
01332X1010/F;0.0105;0.019
01501X0072/F2-94;0.0105;0.015
08323X0201/HY;0.0105;0.021
09913X0429/F2;0.0105;0.021
01531X0092/P;0.0108;0.02
03631X0002/FAEP;0.010833333;0.065
03366X0015/2PAEP;0.011;0.015
02527X0003/F;0.011;0.022
02654X0006/F3;0.011;0.019
02662X0009/F;0.011;0.014
10035X0010/F3;0.0111;0.0222
01334X0010/SAEP;0.01125;0.04
01531X0096/P5;0.01125;0.015
05202X0010/FAEP1;0.0114;0.035
05737X0007/C;0.0115;0.023
01105X0109/P2;0.0115;0.02
06403X0011/HY;0.0115;0.023
01825X0106/P3;0.0115;0.013
03074X0005/F;0.012;0.02
04376X0002/PUITS;0.012;0.036
00816X0062/F;0.012;0.012
00871X0021/SAEP;0.012;0.02
06014X0006/AEP;0.012;0.02
01363X0007/HY;0.012;0.03
08094X0017/F;0.012;0.024
08151X0006/C;0.012;0.024
00883X0046/SAEP2;0.0125;0.03
05617X0006/F;0.0125;0.025
07445X0049/CPT;0.0125;0.025
02636X0011/PAEP;0.0125;0.02
08035X0006/S;0.012666667;0.038
09911X0272/AEP;0.01275;0.102
04135X0335/F2;0.013;0.06
06074X0069/HY;0.013;0.026
06245X1001/SOURCE;0.013;0.039
01886X0013/FE;0.013;0.018
03847X0004/P;0.013333333;0.04
02566X0035/F1;0.013333333;0.04
01308X0089/P;0.013333333;0.03
03292X0001/PF1;0.0135;0.027
01511X0192/F;0.0135;0.02
03616X0003/FAEP;0.013666667;0.041
01675X0002/F;0.013666667;0.04
02133X0012/F-AEP9;0.013766667;0.023
02473X0014/C1;0.014;0.026
01605X0002/FAEP;0.014;0.015
01621X0011/HY;0.014;0.03
01671X0013/HY;0.014;0.07
03511X0004/P;0.01425;0.057
10522X0193/PZ;0.01435;0.0287
05382X0005/F1;0.0145;0.029
00843X0060/F.AEP;0.01475;0.03
00656X0029/F;0.015;0.03
04034X0006/AEP;0.015;0.03
05282X0097/P1;0.015;0.06
07463X0037/318A;0.015;0.04
00515X0118/HY;0.015;0.03
01515X0003/HY3;0.015;0.015
01687X0022/F1;0.015;0.03
09646X0058/FP2;0.015;0.02
02091X0002/S2;0.015;0.02
10247X0175/F;0.015;0.06
02472X0073/P;0.0155;0.028
01727X0024/P2;0.0155;0.045
10293X0153/F;0.01555;0.0311
01923X0003/SCE;0.015666667;0.05
08264X0086/F;0.01575;0.021
