CD_STATION;MOYPTOT;MAXPTOT
02954X0058/P1;0.22;0.58
03677X0006/FORAGE;0.220333333;0.389
03627X0002/FAEP;0.221;0.244
09917X0191/CEMM;0.2215;0.37
01916X0013/HY;0.22175;0.639
01978X0003/HY;0.225;0.31
01277X0181/F;0.225;0.43
01273X0031/HY;0.2275;0.51
09523X0001/HY;0.228;0.245
01462X0132/C1;0.23;0.335
09438X0003/SOU;0.23;0.35
01823X0061/HY;0.231;0.353
09922X0228/S;0.23125;0.48
00171X0113/P1;0.232;0.28
07466X0047/HY;0.2325;0.28
07466X0061/P;0.2325;0.65
00517X0030/SCE;0.233;0.24
02597X0010/S1;0.2357;0.3
02948X0072/F1;0.23575;0.27
02153X0026/P;0.236111111;1.004
03605X0503/SOURCE;0.23625;0.426
10388X0010/111111;0.2368;0.42
01344X1002/HY;0.237;0.381
04461X0025/F;0.2375;0.29
01276X1101/F;0.2384;0.311
10903X0026/PENE;0.239;0.496
04441X0301/PZ;0.24;0.28
00878X0012/SO;0.24;0.74
09781X0008/F;0.24;0.26
04128X0079/HY;0.24;0.3
02951X0079/F;0.2405;0.32
07711X0007/F;0.241166667;0.46
05003X0005/AEP;0.242;0.93
08183X0242/SMAL01;0.2425;0.28
03032X0006/HY;0.242714286;0.37
02185X0059/F;0.24425;0.297
04136X0263/P1;0.245;0.31
01716X0028/HY;0.24675;0.336
01144X0004/S;0.2475;0.31
06518X0028/F;0.2475;0.3
04343X0006/SOURCE;0.25125;1.23
04722X0024/F;0.2515;0.39
03424X0084/F;0.2525;0.42
04024X0004/PUITS;0.2534;0.975
01858X0011/P1;0.254625;0.36
03018X0002/SAEP5;0.25575;0.876
03074X0002/F;0.256666667;0.39
03682X0036/AEP;0.258;0.341
00955X0007/C1;0.25925;0.682
06832X0004/HY;0.26;0.39
03351X0034/PAEP1;0.26;0.26
03677X0041/AEP;0.264;0.43
05347X0017/P6;0.2645;0.283
04131X0138/P2;0.265;0.42
01513X0029/F3;0.2665;0.293
07477X0017/S2;0.2665;0.33
06865X0009/F;0.27;0.34
09912X0239/P;0.2714;0.3
09652X0152/F;0.272625;0.72
02614X0019/PAEP;0.27475;0.33
10902X0002/S;0.275;0.35
04563X0024/HY;0.276;0.392
02032X0043/PUITS;0.277;0.37
03786X0020/52A;0.278;0.43
02222X0019/F1;0.2784;0.38
09508X0055/D2;0.28;0.28
04702X0034/SOURCE;0.28;0.41
02865X0001/P;0.283;0.566
02198X0059/HY;0.283;0.38
00673X0096/S.GOIN;0.2855;0.38
04133X0001/F;0.286;0.484
09781X0007/F;0.288;0.91
05282X0254/SCE;0.2885;0.594
01573X0061/SAEP;0.28975;0.623
03304X0008/AEP;0.29075;0.4
03272X0005/PF;0.2908;0.36
04451X0148/F;0.295;0.35
05154X0028/FAEP;0.29525;0.331
05573X0134/F;0.2975;0.4
02946X0007/P1;0.29775;0.341
01573X0013/SAEP;0.29775;0.533
03316X0032/SOURCE;0.297888889;0.95
00378X0002/P1;0.3;0.3
02628X0009/FAEP;0.30325;0.643
02714X0061/F3;0.3046;0.413
01092X0017/SAEP;0.30525;0.52
02594X0052/P1;0.3074;0.461
01183X0075/F1;0.308714286;1.115
10098B0247/F;0.309;0.413
06984X0025/HY;0.311;0.311
03674X0001/PUITS;0.3115;0.55
10351X0048/F;0.314;0.314
06697X0099/ERH;0.3185;0.326
02635X0005/PAEP;0.325;0.4
06984C0012/376A;0.32575;0.4
09913X0094/P1;0.3265;0.38
09656X0099/P;0.3275;0.44
07481X0031/293K;0.3275;0.55
10356X0043/F;0.3275;0.415
05986X0163/P;0.328;0.328
04882X0001/PAEP2;0.32925;0.395
01517X0088/F5;0.3296;0.557
03295X1002/F;0.33;0.33
00792X0042/P;0.33025;0.495
06026X0005/P;0.33325;0.52
01143X0039/HY;0.336;0.39
01557X0004/P1;0.3365;0.45
00853X0024/SAEP;0.338;0.441
02923X0036/F;0.338;0.833
01485X0010/C1;0.3385;0.392
05143X0088/S;0.3388;0.42
07712X0007/S;0.339;0.55
03296X1032/PC1;0.33975;0.729
01526X0063/F;0.3415;0.39
07706X0091/S1;0.342333333;0.77
03064X0053/SCE;0.345;1.35
04057X0007/HY;0.34575;0.63
04032X0024/SOURCE;0.34625;1.078
03666X0019/PAEP;0.3502;0.647
07318X0007/F4;0.355;0.45
02581X0043/P1;0.355;0.41
00608X0060/HY;0.3575;0.47
01615X0001/HY;0.36075;1.162
01938X0151/SCE6;0.3625;0.49
03675X0003/SOURCE;0.362777778;0.681
00765X0025/HY;0.3635;0.721
08086X0022/HY;0.3635;0.55
01767X0014/C1;0.364333333;0.471
10094C0244/F;0.365;0.46
01113X0008/HY;0.366;0.45
10014X0036/F;0.37;0.74
01832B0483/PZ2;0.3715;0.556
04332X0002/SOURCE;0.3739;1.424
06997X0196/SCE;0.375;0.53
03991X0403/F;0.376;0.436
07078X0005/5;0.38;0.43
04408X0025/S;0.38;0.42
07475X0004/HY;0.3825;0.58
04137X0179/PZ4;0.3825;0.46
10601X0005/111111;0.3875;0.5
02302X0097/HY;0.3875;0.57
03945X0010/SOURCE;0.39625;1.075
02714X0002/F;0.396666667;0.7
07704X0082/F;0.3976;0.57
07096X0021/FORGE;0.405;0.49
09562X0016/F;0.4065;0.742
04457X0023/F;0.40725;0.61
02648X0024/SAEP;0.41525;0.76
02598X0009/P1;0.4175;0.87
01121X0011/HY;0.424166667;0.61
06828X0021/F;0.4275;0.52
01103X0032/SAEP;0.43;0.57
08663X0123/D;0.431428571;2.97
01864X1012/SCE;0.4335;0.542
02581X0094/F3;0.439875;0.699
06505X0078/F5;0.4404;0.68
09693X0027/SOU;0.4425;0.47
01566X0131/SCE;0.4445;0.599
04886X0011/HYAEP;0.4475;0.489
02605X0154/P1;0.448;0.886
01877X0029/SAEP;0.44975;0.609
04456X0125/R;0.45;0.53
01258X0072/F;0.45;0.59
01194X0157/F2;0.455375;0.754
01115X0110/F;0.45602;0.56
03342X0002/PAEP1;0.45675;1.459
01116X0086/HY;0.46;0.64
08287X0004/SOURCE;0.461;0.841
02565X0001/P2;0.461;0.461
04288X0067/F;0.462;1.064
02237X0020/P;0.4665;0.748
07334X0508/SOURCE;0.467;0.56
04933X0005/HYAEP;0.47;0.942
04456X0020/F;0.47;0.56
01144X0019/HY;0.4724;1.382
02601X0025/S1;0.479111111;0.62
02231X0010/FAEP;0.481833333;0.639
08184X0066/DRAIN;0.485;0.77
09526X0090/F;0.487142857;0.58
09914X0137/P;0.49;0.57
01861X0019/HYP2;0.492;0.558
10045X0183/P;0.4974;0.622
09911X0275/GARBAS;0.4975;0.572
10148X0029/CLOTAL;0.5;0.65
02586X0069/P3;0.5;0.58
09521X0064/S;0.5;0.99
02588X0013/HY1;0.502;0.67
01627X0014/HY;0.508;0.65
01176X0004/P;0.51675;1.64
06838X0007/BURIE;0.5175;0.68
00675X0141/F.AEP;0.527;0.63
00697X0051/SAEP;0.532;0.67
10357X0001/F;0.535;0.545
00732X0014/F10;0.5385;0.833
05265X0007/AEP;0.53875;2.04
00888X0052/HY;0.54;0.68
09143X0129/P;0.5475;0.71
05078X0003/P3;0.549857143;0.809
04288X0023/F;0.549888889;0.65
05867X0062/F1;0.5585;0.637
03307X0003/HY;0.563444444;0.918
01871X0063/FR;0.5645;0.877
08908X0006/D;0.57;0.665
01525X0007/A6;0.5708;2.21
01327X0055/PAEP86;0.5772;0.762
04236X0027/SI-1;0.58025;0.766
07702X0239/S2;0.58225;0.81
02877X0003/F;0.589857143;0.8
06995X0314/PZ;0.5915;0.912
04816X0400/F;0.5945;1.04
04712X0051/SCE;0.6;1.76
10573X0224/F;0.603;0.603
09915X0217/VIALA;0.60525;0.88
05986X0077/S1;0.608;0.696
04138X0181/F1;0.615;0.85
01927X0005/HY;0.6245;0.85
04741X0035/P;0.625;2.5
01584X0002/FAEP;0.626666667;1.173
04994X0225/F;0.63;0.87
05278X1003/CC;0.6375;1.58
05266X0032/SOURCE;0.645;0.97
01821X0012/HY;0.6545;0.758
06738X0013/SO;0.66;0.88
02341X0046/F6;0.6625;0.81
06741X0134/SCE;0.6675;0.86
01848X0009/P;0.672555556;0.86
07357X0005/F;0.69525;2.781
01296X0064/P;0.72125;1.188
02201X0072/F2;0.722;1.014
01625X0078/SCE;0.722;1.22
03622X0001/FAEP;0.7385;0.826
01504X0085/S;0.7462;0.997
02226X0009/F1;0.7471;0.97
07231X0265/P;0.755;1.6
04514X0007/F2;0.75575;1.32
01143X0046/HY;0.758;1.09
07486X0031/S;0.774666667;1.44
01876X0002/SAEP2;0.78675;1.923
03653X0150/F3AEP;0.7932;1.03
03303X0010/F;0.804666667;1.894
02205X0098/P10;0.8175;1.21
00687X0003/SAEP;0.822;1.05
04998X0093/AEP;0.85375;1.06
05796X0046/AEP;0.86;1.11
04453X0038/HY;0.86;1.34
04458X0019/HY;0.88;1.16
07236X0028/P;0.882;1.59
09136X0015/F1;0.904285714;1.67
03347X0016/SAEP;0.9245;1.99
09143X0117/P;0.9375;1.26
05033X0049/CN;0.9975;2.33
00845X0018/HY;1.001;1.169
04725X0008/S;1.01825;2.523
00876X0011/S1;1.022;1.19
02564X0091/F1;1.027;2.65
02208X0005/HY;1.066166667;2.298
04452X0006/HY;1.15;1.54
00178X0020/SO;1.16;1.16
08907X0017/F;1.165;1.69
01326X0041/FAEP;1.182714286;1.631
05663X0001/PUITS;1.255;2.143
01573X0147/P0;1.2672;2.296
06212X0058/LFN804;1.315;1.457
01991X0079/F;1.335;1.77
05005X0042/S-FOND;1.3675;2.02
04664X1010/AEP;1.384;2.07
05264X0033/SOURCE;1.4625;2.09
05702X0012/P;1.473;1.634
01144X0015/HY;1.51;2.01
04994X0473/FORAGE;1.54;1.94
07964X0335/F;1.561;2.02
10202X0142/P;1.6175;1.99
09134X0225/CELETE;1.66075;2.02
04457X0009/S1;1.7475;1.95
08904X0026/FO;1.82775;2.31
04407X0007/S;1.858;2.51
07466X0001/S;1.9725;2.75
04035X0024/SOURCE;2.286333333;5.36
05112X0004/F;2.451;4.267
06745X0204/SCE;2.55;3.34
01288X0039/HY;2.691;2.691
09916X0102/ANCETT;2.9775;5.14
04994X0223/F;3.383;3.762
01254X0070/F;3.4905;13.685
10578X0005/F;3.9015;7.437
07571X0581/SOURCE;5.05;18.87
07578X0038/P;5.894;28.16
09438X0006/HY;6.769;9.8
06517X0011/F;10.795;23.65
03288X0042/P;94.6025;164.25
